WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,1-Sep,2-Sep,mag1,mag2,delta Mag,DM,Notes,n_RAJ2000,RAJ2000,DEJ2000,Name
01247-1540,HDS 182,,1991,2018,203,214,0.2,0.3,6.43,9.03,2.6,-16  237,,,01 24 39.91,-15 39 37.5,HD   8589
02085-0641,HDS 285,,1991,2020,78,116,0.3,0.2,6.78,9.26,2.48,-07  366,N,,02 08 31.79,-06 40 40.9,HD  13155
02302-2511,HDS 325,AB,1991,2014,78,77,0.5,0.6,6.67,8.9,2.23,-25  979,W,,02 30 13.73,-25 11 11.2,V* TY For A
03493-0127,RST4760,"Aa,Ab",1943,2008,282,286,0.6,0.8,6.74,9.32,2.58,-01  539,,,03 49 19.05,-01 27 11.5,HD  23992
04424-0056,HDS 606,,1991,2019,247,231,0.5,0.4,6.95,9.2,2.25,-01  702,,,04 42 22.58,-00 55 47.5,V* HS Eri
04382-1418,KUI  18,,1934,2018,1,5,1.1,1.1,4.02,6.95,2.93,-14  933,NO,,04 38 10.82,-14 18 14.3,* l Eri A
05123-1152,HUB   6,"Aa,Ab",1999,1999,23,23,0.4,0.4,4.78,7.22,2.44,-12 1095,N  K,,05 12 17.89,-11 52 08.9,* iot Lep
05204-0522,HDS 702,"Aa,Ab",1991,2016,196,234,0.5,0.6,6.48,9.11,2.63,-05 1225,,,05 20 26.41,-05 22 03.1,HD  34880A
05354-0425,FIN 345,,1960,2014,110,99,0.2,0.4,6.33,8.59,2.26,-04 1184,,,05 35 22.32,-04 25 27.5,HD  37016
06246-0125,BU   97,,1873,2006,260,272,1,0.7,6.77,9.14,2.37,-01 1231,,,06 24 33.93,-01 25 05.7,HD  44948
06370-3809,HDS 907,"Aa,Ab",1991,1991,213,213,0.7,0.7,6.3,8.69,2.39,-38 2782,,,06 37 01.89,-38 08 47.8,HD  47463
07040-4220,HDS 985,,1991,2018,352,43,0.2,0.4,5.33,8.38,3.05,-42 2929,,,07 04 02.81,-42 20 14.8,* C Pup
07540-4142,HDS1122,,1991,1991,66,66,0.2,0.2,6.92,9.51,2.59,-41 3520,,,07 54 02.21,-41 42 10.6,HD  64827
07595-3918,HDS1134,,1991,2020,23,215,0.2,0.5,5.43,7.77,2.34,-38 3908,O,,07 59 28.43,-39 17 48.6,HD  65925
08326-1502,B  2528,,1936,1942,198,204,0.4,0.3,6.5,8.6,2.1,-14 2564,NX,,08 32 33.39,-15 01 48.7,HD  72462
08423-4806,RST5304,,1944,2019,303,310,0.3,0.5,5.5,8.28,2.78,-47 4251,N,,08 42 16.20,-48 05 56.8,V* HX Vel
09256-2520,RST2627,,1935,2016,309,318,0.6,0.8,6.85,8.89,2.04,-24 8060,,,09 25 37.06,-25 20 13.6,HD  81542
10267-4740,RST4928,,1943,2019,315,17,0.6,0.4,6.7,8.7,2,-47 5895,,,10 26 43.95,-47 39 34.8,HD  90611
10329-4700,YSJ   1,"Aa,Ab",1991,1997,99,97,0.4,0.4,5.3,7.66,2.36,-46 6205,N,,10 32 56.88,-47 00 12.1,* t Vel
10409-3545,B  2001,,1931,1991,63,48,0.7,0.6,6.63,9.14,2.51,-35 6646,N,,10 40 51.56,-35 44 30.2,HD  92589
11448-1821,HDS1658,,1991,2018,22,97,0.2,0.3,4.95,7.84,2.89,-17 3460,,,11 44 45.76,-18 21 02.2,* zet Crt
13006-0322,AGC   5,AB,1877,2016,150,181,1.3,0.6,6.18,8.78,2.6,-02 3609,NO,,13 00 35.96,-03 22 07.0,*  46 Vir A
13147-4857,HDS1855,,1991,2019,31,330,0.3,0.5,6.04,9.7,3.66,-48 8050,,,13 14 43.36,-48 57 24.5,HD 114971
13496-4228,RIZ   8,"Aa,Ab",2010,2010,80,80,0.1,0.1,3.5,6.7,3.2,,N,,13 49 37.01,-42 28 25.3,* mu. Cen
15210-1533,OCC9209,"Aa,Ab",2015,2015,158,158,0.1,0.1,6.2,9.4,3.2,-15 4083,N,,15 21 01.38,-15 32 54.0,* omi Lib
15389-1918,HDS2209,,1991,2017,127,109,0.3,0.4,5.57,8.8,3.23,-18 4118,,,15 38 54.51,-19 18 06.2,*  41 Lib
16003-2237,LAB   3,,1973,2019,351,2,0.2,0.2,2.39,4.62,2.23,-22 4068,NO,,16 00 20.01,-22 37 17.8,* del Sco
16057-0617,BU  948,AB,1879,2019,151,74,1.5,0.6,6.46,9.01,2.55,,NO,,16 05 44.53,-06 17 28.1,HD 144362A
16123-2825,HUB  16,"Aa,Ab",1999,1999,39,39,0.2,0.2,5.9,7.94,2.04,,N  K,,16 12 16.05,-28 25 01.9,*  12 Sco A
16212-2536,BLM   4,"Aa,Ab",1976,2019,292,217,0.3,0.4,3.06,5.24,2.18,-2511485,N,,16 21 11.32,-25 35 33.9,* sig Sco
16540-4148,B  1833,AB,1897,2006,90,75,0.2,0.5,5.65,7.92,2.27,-4111024,N,,16 54 01.84,-41 48 23.0,HD 152234
17002-2459,EHR  14,"Aa,Ab",2008,2020,281,220,0.3,0.5,4.7,6.7,2,,NV K,,17 00 09.48,-24 59 20.2,*  26 Oph
17166-0027,A  2984,,1915,2019,298,24,0.5,0.7,4.92,7.51,2.59,-00 3255,NO,,17 16 36.69,-00 26 43.1,*  41 Oph A
18281-2645,HDS2615,AB,1991,2019,352,186,0.3,0.3,6.4,9.31,2.91,-2613192,O,,18 28 06.17,-26 45 25.8,HD 169938
19480-2057,HDS2815,,1991,2019,45,19,0.2,0.2,6.99,8.92,1.93,-21 5522,,,19 47 59.98,-20 57 27.3,HD 186938
20055-3300,SEE 404,AB,1897,2010,65,112,0.5,0.6,6.63,8.96,2.33,-3314700,,,20 05 32.02,-32 59 59.3,HD 190306
20210-1447,BAR  12,"Ba,Bb",1884,2020,106,53,0.9,0.4,6.16,9.14,2.98,-15 5626,NO,,20 20 46.55,-14 47 05.5,* bet01 Cap
20393-1457,HU  200,AB,1900,2019,270,123,0.2,0.4,5.38,7.31,1.93,-15 5743,NO,,20 39 16.32,-14 57 17.0,*  14 Cap A
21041-0549,MCA  66,"Aa,Ab",1978,2017,171,237,0.1,0.3,5.9,8.3,2.4,-06 5664,N,,21 04 04.71,-05 49 23.0,*  12 Aqr A
21044-1951,FIN 328,,1951,2020,175,86,0.3,0.3,5.02,7.39,2.37,-20 6115,NO,,21 04 24.32,-19 51 17.8,* eta Cap
21208-4049,HDS3039,,1991,2020,1,20,0.1,0.2,4.93,7.42,2.49,-4114475,O,,21 20 45.58,-40 48 34.2,* tet01 Mic
22408-0333,KUI 114,,1934,2020,309,129,0.2,0.4,6.52,8.63,2.11,-04 5728,NO,,22 40 47.97,-03 33 15.4,HD 214810A
23067-2345,HDS3293,"Aa,Ab",1991,2020,119,20,0.3,0.2,4.79,6.77,1.98,-2417497,O,,23 06 40.81,-23 44 35.2,* c01 Aqr
23069-3854,BU  773,,1920,2009,212,205,1.2,0.9,5.7,8.24,2.54,-3914936,,,23 06 53.62,-38 53 32.3,* ups Gru A
23084-2849,HDS3295,AB,1991,2020,293,134,0.2,0.3,5.89,8.17,2.28,-2918588,O,,23 08 21.10,-28 49 24.8,HD 218434
23100-4252,DON1042,,1930,2020,164,143,0.8,0.8,6,9.05,3.05,-4315281,O,,23 09 57.37,-42 51 40.1,HD 218630